"Year; Documents"
"2022;""70"""
"2021;""43"""
"2020;""45"""
"2019;""48"""
"2018;""40"""
"2017;""24"""
"2016;""21"""
"2015;""5"""
"2014;""1"""
"2013;""3"""
"2012;""3"""
"2011;""2"""
